,beer_names,style,07-30-2022
102,Fixie Single Lot Session,Pale Ale - American,3.63
103,Magnum P.A.,Pale Ale - American,
104,3 Men 1 Baby Milk Porter,Porter - Other,3.75
105,The Gentleman,Brown Ale - American,
106,Wolf Moon Rose Imperial Stout,Stout - Imperial / Double,4.14
107,Pipehawk,IPA - Session,3.58
108,The Shroud Belgian Dubbel,Belgian Dubbel,3.69
109,Spice Hawk,Farmhouse Ale - Saison,3.24
110,Snow Moon White Tea Imperial Wit,Wheat Beer - Witbier / Blanche,4.08
111,Tiller 7 Grain Saison,Farmhouse Ale - Saison,3.66
112,Saison D'Orient,Farmhouse Ale - Saison,3.77
113,Reciprocation Hoppy Juniper Ale,Pale Ale - American,3.6
114,Lavandula Orange Lavender Stout,Stout - American,3.62
115,Worm Moon Absinthe Rouge Tripel,Belgian Tripel,4.01
116,Ink Well,Schwarzbier,3.53
117,Hugo Stiglitz Hopfenweizen,Wheat Beer - Hefeweizen,3.75
118,Rebar American Porter,Porter - American,3.64
119,Blade & Sheath,Farmhouse Ale - Saison,3.77
120,Pink Moon Pink Grapefruit Saison,Farmhouse Ale - Saison,3.93
121,Snack Attack,Brown Ale - American,3.57
122,Thumbscrews,IPA - Imperial / Double Black,3.9
123,Magpie On the Gallows,Farmhouse Ale - Saison,3.85
124,Flower Moon Black Trappist Bouquet,Belgian Tripel,3.83
125,The Bog Cranberry Belgian Ale,Pale Ale - Belgian,3.77
126,Shadowclock Pilsner,Pilsner - German,3.74
127,Camulet,Farmhouse Ale - Saison,3.79
128,The Remains,Belgian Dubbel,3.78
129,Crucifix Tripel Red Wine Barrel Aged,Belgian Tripel,3.73
130,Kukai Cucumber Brett,Wild Ale - American,3.82
131,Rites of Passage,Wild Ale - American,3.84
132,Strawberry Moon Strawberry Leaf Tripel,Belgian Tripel,4.01
133,Raspberry Moon Raspberry Leaf Blonde,Belgian Blonde,4.01
134,Trellis Cucumber Wit,Wheat Beer - Witbier / Blanche,3.42
135,Endless Summer,IPA - White / Wheat,3.85
136,The Prayer Biere D'Prune,Farmhouse Ale - Bière de Garde,3.74
137,Sturgeon Moon Saison of the Sea,Farmhouse Ale - Saison,3.76
138,Vaya Con Dios,IPA - American,4.22
139,Mattock Belgian Cherry Stout,Stout - Other,3.8
140,The Rosary Belgian Export Stout,Stout - Foreign / Export,3.88
141,The Shroud Belgian Dubbel Aged In Malbec Barrels And Medjool Dates,Belgian Dubbel,3.95
142,The Prayer Biere D' Peche,Belgian Blonde,3.67
143,Beacon Heather Gruit,Historical Beer - Gruit / Ancient Herbed Ale,3.64
144,The Harvesters Pear Saison,Farmhouse Ale - Saison,3.68
145,Smorgasbord Juniper Rye Porter,Porter - Other,3.74
146,Harvest Moon Watermelon & Mint Blonde,Belgian Blonde,3.87
147,Horehound ESB,Bitter - Extra Special / Strong (ESB),3.31
148,Excavator Belgian Tripel,Belgian Tripel,3.7
149,Griddle Imperial Espresso Stout,Stout - Imperial / Double,4.26
150,The Forge Blackberry Hazelnut Brown,Brown Ale - American,3.86
151,The Prayer Biere Des Tropiques,Belgian Blonde,3.85
152,The Stone of Madness,Farmhouse Ale - Saison,3.51
153,Tears of the Sun God,Farmhouse Ale - Saison,3.98
154,The Triumph of Death Sumac Saison,Farmhouse Ale - Saison,3.88
155,Hermit Saints Saison,Farmhouse Ale - Saison,3.97
156,Honey Boo Boo Honey Tripel,Belgian Tripel,3.58
157,Sieve Salted Cascara Witbier,Wheat Beer - Witbier / Blanche,3.6
158,The Forge Crabapple Spiced Berliner Weiss,Sour - Berliner Weisse,4.05
159,The Confession Belgian Stout,Stout - Other,3.89
160,Keeper's Veil Honey Saison,Farmhouse Ale - Saison,3.75
161,Hunter's Moon Blood Orange American Strong Ale,Strong Ale - American,4.07
162,Beaver Moon Imperial Brown Ale,Brown Ale - Imperial / Double,4.1
163,Book of the Dead,Stout - Foreign / Export,4.03
164,Harrow Flower IPA,IPA - American,3.83
165,The Forge Cerveza Tomatillo Verde,Lager - Mexican,3.89
166,The Forge Kombucha Imperial Stout,Stout - Imperial / Double,3.72
167,Crucible India Black Lager,Lager - Dark,3.78
168,Cold Moon Cedar Sage Winter Ale,Winter Warmer,3.88
169,Ammunition Horchata Dark Ale,Brown Ale - American,4.08
170,Mittens Citrus Winter Wit,Wheat Beer - Witbier / Blanche,3.6
171,The Forge Rauchbier,Rauchbier,3.45
172,The Forge Loganberry Gruit,Historical Beer - Gruit / Ancient Herbed Ale,3.89
173,Praline Pecan Porter,Porter - American,4.0
174,Mint Julep Belgian Blonde,Belgian Blonde,3.87
175,Hurricane Ipa,IPA - American,3.96
176,The Forge Weizenbock,Bock - Weizenbock,3.83
177,The Forge Dry-hopped Sour,Sour - Other,3.99
178,The Relic,Belgian Quadrupel,3.73
179,The Adoration of the Mystic Lamb,IPA - Brett,3.83
180,The Forge Clementine Hoppy Strong Ale,Strong Ale - American,3.87
181,The Tabernacle,Stout - American,4.03
182,The Prayer Biere d'Cobbler,Belgian Blonde,3.78
183,Saint Hildegard,Farmhouse Ale - Saison,3.78
184,Ship of Fools Barrel Fermented Grisette,Farmhouse Ale - Grisette,3.84
185,The Prayer - Biere De Pie,Farmhouse Ale - Bière de Garde,3.75
186,Lawn Chair,Pale Ale - American,3.78
187,The Planet of Doom,Belgian Strong Dark Ale,3.89
188,Aussie Vise,Pale Ale - Australian,3.66
189,De Swaen,Porter - Other,3.58
190,Siege Machine,IPA - American,3.95
191,Farm Tool Tropical Saison,Farmhouse Ale - Saison,4.06
192,Terrestrial Paradise 2016,Farmhouse Ale - Saison,3.85
193,Hunt In the Forest Spruce Saison,Farmhouse Ale - Saison,3.72
194,1980 T.R.G.,Historical Beer - Gruit / Ancient Herbed Ale,3.71
195,Innertube,Lager - American Light,3.63
196,Spoon & Hook,Lager - Pale,3.83
197,The Forge Rye India Black Ale,Rye Beer,3.88
198,Billows,Kölsch,3.73
199,The Ocean Swallows the Sun,Sour - Traditional Gose,3.94
200,Technicolor,Farmhouse Ale - Saison,3.6
201,The Allegory of the Elements,Farmhouse Ale - Saison,3.87
202,The Forge IPA W/spelt & Coffee,IPA - American,3.96
203,Anno Domini MMXVI,Farmhouse Ale - Saison,4.05
204,The Shrine,Belgian Strong Golden Ale,4.03
205,Motorhawk,Porter - American,3.74
206,Self-Titled Album: Intro,Stout - Imperial / Double,3.86
207,The Archer at the Gates,Belgian Enkel / Patersbier,3.66
208,Sifter,Stout - American,3.98
209,The Forge: Double Red Ale With Passion Fruit And Papaya,Red Ale - Imperial / Double,3.8
210,The Forge: Cucumber Mint Lime Gose,Sour - Traditional Gose,3.99
211,The Two Prophets,Farmhouse Ale - Saison,3.9
212,Mankind Beset By Devils Quadrupel,Belgian Quadrupel,4.0
213,Tribute To the Patron,Rye Beer,3.68
214,The Forge: Bier De Chickpea,Pale Ale - American,3.69
215,The Parable of the Sower,Farmhouse Ale - Saison,3.76
216,The Priory,Pale Ale - Belgian,3.72
217,The Crossing of Cosmic Frequencies Farmhouse Pale Ale,Pale Ale - American,3.88
218,Sugar Hiccup,Farmhouse Ale - Saison,3.69
219,A Profound Sense of Courage,Wheat Beer - Wheat Wine,3.81
220,Springbok,Bock - Single / Traditional,3.5
221,Izakaya Afternoon,Farmhouse Ale - Saison,3.55
222,Spikeharrow,IPA - Session,3.61
223,The Forge Pear-Ginger Saison,Farmhouse Ale - Saison,3.82
224,The Brazen Serpent,Farmhouse Ale - Saison,3.65
225,The First Miracle,Farmhouse Ale - Saison,3.76
226,The Resurrection Pulpit,Other,3.88
227,Resurrection Pulpit,Specialty Grain,3.96
228,The Forge: Rice Saison With Wild Plums,Farmhouse Ale - Saison,3.68
229,The Forge: Cream Ale,Cream Ale,3.49
230,The Forge: Fresh Hop Honey Ale,Pale Ale - American,4.08
231,Black Phoenix,IPA - Imperial / Double Black,4.05
232,Searchers Who Are Lovers,Wheat Beer - American Pale Wheat,3.92
233,Love's Easy Tears,Stout - American,3.74
234,Hopless Romantic,Historical Beer - Gruit / Ancient Herbed Ale,3.28
235,Tuskhorn,IPA - American,3.9
236,East 99,IPA - American,4.13
237,The Transfiguration,Farmhouse Ale - Saison,3.92
238,The Organization of the Ten Craft,Blonde Ale,3.69
239,The Forge: Hoppy Serrano Brown Ale,Brown Ale - American,3.93
240,Set Adrift Upon A Sea,Farmhouse Ale - Saison,3.86
241,The Coronation,Belgian Tripel,3.96
242,Self-Titled Album: Verse,Stout - Imperial / Double Milk,3.89
243,Tempranillo Spelt Saison,Farmhouse Ale - Saison,3.95
244,From Tolland With Love,Specialty Grain,3.75
245,The Precision of the Sinner,Farmhouse Ale - Saison,3.84
246,Skullsaw Porter,Porter - American,3.73
247,Microplane,Belgian Blonde,3.68
248,The Forge: Multi-Grain Saison,Farmhouse Ale - Saison,3.68
249,Depths of My Inner Sorrow,IPA - American,4.01
250,The Fable of the Wise And Foolish,Other,3.67
251,Both Ways,Lager - IPL (India Pale Lager),3.94
252,Sickle Mosaic Pale Ale,Pale Ale - American,3.85
253,Sepulcher,Porter - Baltic,3.91
254,Celestial Masters,Historical Beer - Gruit / Ancient Herbed Ale,3.96
255,The Discovery of Honey,Historical Beer - Gruit / Ancient Herbed Ale,3.8
256,Ferraris & Floral Fabrics,Sour - Other,4.17
257,Spoon 100% Brett Pale Ale,Pale Ale - American,3.69
258,The Prayer Biere De Tourte,Belgian Blonde,3.89
259,Gift To the Centaur,Farmhouse Ale - Saison,3.42
260,Earth As We Now Know It,IPA - American,4.05
261,Voorhamer (Double Barrel Brandy And Bourbon Aged),Stout - Imperial / Double,4.49
262,The Dagger Trials Pale Ale,Pale Ale - American,3.87
263,The Root of Our Addiction,Historical Beer - Gruit / Ancient Herbed Ale,3.9
264,Fall of the Rebel Angels (2018 Release),Farmhouse Ale - Saison,4.01
265,Dire And Ever-Circling Wolves,Farmhouse Ale - Saison,3.78
266,Weathered Scythe – Rye Barrel-Aged Rye IPA,IPA - American,4.03
267,Weathered Scythe – Bourbon Barrel-Aged Rye IPA,IPA - American,3.98
268,Waves Crash Upon Us - Brett Pale,Pale Ale - American,3.8
269,Gin Fizz Saison,Farmhouse Ale - Saison,3.8
270,Cullenary Wizard - Adambier,Other,3.89
271,The Melancholy of Departure,Farmhouse Ale - Saison,4.04
272,Firestick IPA,IPA - American,3.93
273,Self-Titled Album: Chorus,Stout - Imperial / Double,4.17
274,Messer - Kottbusser,Historical Beer - Kottbusser,3.7
275,Shallow Water Kolsch,Kölsch,3.71
276,Ritualknife,Mead - Braggot,3.89
277,Stay G-O-L-D,IPA - American,4.19
278,Kindling Coffee Kolsch,Kölsch,3.77
279,Pantalones Flacos Temporada Lima Con Sal,Brett Beer,3.72
280,A World of Obstacles Overcome,Pale Ale - American,3.73
281,A Most Fitting Death,IPA - Imperial / Double,4.0
282,The Sun Is Too Bright,Sour - Traditional Gose,
283,The Hamilton Porter - S'mores Porter,Porter - American,4.13
284,Butcherhook Porter,Porter - American,3.7
285,Two Dollars,Pale Ale - American,3.64
286,The Persistence of Memories,IPA - Imperial / Double,4.24
287,Firecracker,IPA - American,
288,The Remnants of the Fallen,Farmhouse Ale - Saison,3.95
289,When We Were Phantoms,IPA - Imperial / Double,4.06
290,$2 American Pale Ale,Pale Ale - American,3.61
291,Misery Whip Barrel-Aged Rye IPA,IPA - Rye,3.82
292,Dope Chocolate Vanilla Imperial Stout,Stout - Imperial / Double,4.21
293,Deep In the Orbit Sour Pale Ale,Wild Ale - American,3.96
294,Fierce Invalids Hoppy Pilsner,Pilsner - Other,3.77
295,Fall of the Damned (2017 Release),Sour - Flanders Red Ale,4.14
296,In the Throes of Disembodiment,Stout - Imperial / Double,4.08
297,Insatiable Penchant For Vice,Sour - Fruited Berliner Weisse,3.9
298,Clairvoyance Yazu Saison,Farmhouse Ale - Saison,3.8
299,Billoceans,Kölsch,3.88
300,Dawn of Sacred Lands,Farmhouse Ale - Saison,3.81
301,Dining With Jeff,Stout - American,3.8
302,Feast of Sada,Wheat Beer - Witbier / Blanche,3.85
303,Baklava Skillet 2017,Stout - American,4.25
304,Gingersnap Skillet 2017,Stout - American,4.09
305,Blueberry Cardamom Skillet 2017,Stout - American,4.03
306,Fernet Skillet 2017,Stout - American,3.53
307,Sour Blended Skillet 2017,Stout - American,4.11
308,A Paranormal Vibe,IPA - Imperial / Double,4.17
309,The Separation of Light and Darkness,Farmhouse Ale - Saison,4.05
310,Wrathmaker Brett IPA,IPA - American,3.87
311,Momentary Inception DIPA,IPA - Imperial / Double,4.25
312,The Glow of Glistening Fangs,Pale Ale - American,3.55
313,Between Science And Superstition,Historical Beer - Gruit / Ancient Herbed Ale,3.75
314,Post-Apocalyptic Awakening,IPA - Imperial / Double,4.17
315,White Saison,Farmhouse Ale - Saison,
316,The Rise of Perilous Things,Farmhouse Ale - Saison,3.83
317,The Cosmic And Divine,Stout - Imperial / Double,4.15
318,Episodes of A Hermit Life,Sour - Traditional Gose,3.94
319,The Crystal Sphere,IPA - Imperial / Double,4.13
320,Terrestrial Paradise 2017,Pale Ale - American,3.78
321,The Sacrament,Belgian Strong Golden Ale,3.9
322,The Plague,Wild Ale - American,3.75
323,Interstellar Invertebrates,IPA - American,4.05
324,The Walls of God Entomb Us,Belgian Blonde,3.8
325,The Field Has Eyes,Farmhouse Ale - Saison,3.94
326,Path of Totality,Farmhouse Ale - Saison,4.01
327,Survivors of Damnation,Sour - Traditional Gose,3.67
328,The Righteous Few,IPA - White / Wheat,3.85
329,Blackfalls,Porter - Baltic,4.0
330,Own Benefactor,IPA - American,3.97
331,Allegory of Gluttony And Lust,IPA - Imperial / Double,4.22
332,Flowers of Tokushima,Specialty Grain,4.17
333,The Baptism,Wheat Beer - Witbier / Blanche,3.6
334,The Terror Within,Sour - Traditional Gose,3.77
335,Helvede Brød,Brown Ale - Imperial / Double,4.21
336,The Consequences of Humanity,IPA - Imperial / Double,4.24
337,Dawn of the Supernatural,IPA - American,3.85
338,In the Arms of Death,Farmhouse Ale - Saison,3.56
339,The Illusion of Secrecy,Sour - Berliner Weisse,3.87
340,Content In Wayward,Sour - Berliner Weisse,3.72
341,Hawkwind,IPA - American,3.84
342,Archaic Souls,Farmhouse Ale - Saison,3.75
343,Clairvoyant Metamorphosis,IPA - American,4.08
344,Zodiacal Light,Farmhouse Ale - Saison,4.07
345,Jealousy & Murder,Farmhouse Ale - Saison,4.18
346,The Blood of the Sun,Sour - Traditional Gose,3.89
347,Culture Keepers Festbier,Festbier,3.85
348,The Final Serenade,IPA - Imperial / Double,3.96
349,The Pantheon,Wheat Beer - Dunkelweizen,3.67
350,Jumping the Pool,Sour - Other,3.99
351,The Gods Among Us - Estate Saison,Farmhouse Ale - Saison,3.81
352,Bright Lights & Butterfly Blades,Sour - Other,4.03
353,Out of Body Experience DIPA,IPA - Imperial / Double,4.29
354,Mouthbreather Waffleweizen,Wheat Beer - Dunkelweizen,3.2
355,Memories of Pure Anguish,Sour - Other,4.14
356,The Occulture,IPA - American,3.88
357,The Foolish Elder,Farmhouse Ale - Saison,3.38
358,The Closed Mind Withers Malort Saison,Farmhouse Ale - Saison,3.84
359,Vessels of Sound,Sour - Other,
360,The Door To the Next Realm,IPA - Imperial / Double,4.24
361,Eternal Life Is On My Trail,IPA - Imperial / Double,4.05
362,Wandering In the Vast Emptiness,Sour - Berliner Weisse,3.83
363,The Pain That Kills,Sour - Traditional Gose,3.7
364,Ulfberht Baltic Porter,Porter - Baltic,3.96
365,Whence We Came,IPA - Black / Cascadian Dark Ale,4.11
366,The Shattered Remains of Reality,Stout - Imperial / Double,4.19
367,Waffles With Jeff,Stout - American,4.15
368,Enslaved By False Dreams,Farmhouse Ale - Saison,4.06
369,Ensnared By Distorted Delusion,Farmhouse Ale - Saison,3.92
370,The Repentance,Brown Ale - Belgian,3.7
371,The Reaper,Belgian Tripel,4.09
372,Bloodtusk Kellerbier Lager (2017),Kellerbier / Zwickelbier,3.74
373,In the Sirens and Silences,IPA - Imperial / Double,4.28
374,The Merging of Souls,Sour - Other,3.94
375,Allure of Total Darkness,Sour - Other,4.28
376,Go With the Flow,IPA - American,
377,The Earth As We Now Know It,IPA - Imperial / Double,4.24
378,The Veracity of Soulgazing,IPA - American,4.19
379,The Prayer (Mangos And Honey),Belgian Blonde,3.76
380,An Exultant Salutation Amaro Dark Ale With Herbs,Dark Ale,3.82
381,To Rise Through the Ashes,Stout - Imperial / Double,3.86
382,Pinnacle of Dreams Rye Lager,Lager - American,3.78
383,The Fiery Underbelly of Total Consciousness Horchata Imperial Brown Ale,Brown Ale - Imperial / Double,4.16
384,Tiny Haunting Specks of Life (w/ Brett),Sour - Other,3.88
385,Triangular Culture,Other,
386,The Eroding Winds Saison Ale With Brettanomyces And Yuzu,Farmhouse Ale - Saison,3.74
387,Eternal Triangle Mixed Culture Farmhouse Beer,Wild Ale - American,4.12
388,Visions of A Valkyrie,IPA - American,4.15
389,Pools of Emerald Green Pale Lager,Lager - Pale,3.84
390,Hellstar,Lager - Munich Dunkel,3.85
391,Goldenfeather,Pale Ale - American,4.03
392,This Golden Carriage To Oblivion Double India Pale Ale,IPA - Imperial / Double,4.21
393,Sanguine Spires of Attrition Berliner Weisse,Sour - Berliner Weisse,3.84
394,Graveflower,Farmhouse Ale - Saison,3.92
395,Anyway,IPA - American,4.15
396,The Heir of Malevolence Petit Brett Ale,Table Beer,3.77
397,Inverted Fields Ablaze Smoked Maibock Lager,Lager - Amber,3.8
398,The Weaponry of a Mind's Eye,Sour - Flanders Oud Bruin,4.24
399,The Countess of Internment,Pale Ale - Belgian,3.65
400,The Shimmering Appearance,Winter Ale,
401,Peel Back the Dead Earth,Farmhouse Ale - Saison,3.86
402,Death And the Miser,Sour - Flanders Red Ale,4.11
403,Crystalline Prophecies,Farmhouse Ale - Saison,4.27
404,Our Celestial Endings,Sour - Other,3.92
405,Dreams Given To Reality,Sour - Other,3.92
406,Descent of the Scavengers,Farmhouse Ale - Saison,3.96
407,A Completely Different Nature,IPA - American,3.93
408,The Supremity of Being,Sour - Other,3.94
409,The Bridge of Restraint,Farmhouse Ale - Saison,3.84
410,Garden of Earthly Delights IV (2018),Farmhouse Ale - Saison,4.08
411,To Streak Blood Across My Brow,IPA - Imperial / Double,4.33
412,The Taste of Obliteration,Sour - Other,3.81
413,A Temple To Blackness Above,Sour - Other,3.9
414,Our Last Rites,Lager - Pale,
415,The Expulsion of Devils,IPA - Imperial / Double,4.21
416,Passage of Condemnation Amaro Ale,Barleywine - Other,
417,Harnessing Ruin,IPA - American,3.68
418,Song of the Phantom,Sour - Other,4.13
419,Plateau of the Ages,Farmhouse Ale - Saison,4.15
420,The Tearing of Flesh From Bone,IPA - Imperial / Double,4.27
421,Le Tube Petit,Lager - American Light,3.43
422,Felled In Howling Wind,Stout - American,3.77
423,Beacon of the Abyss,Lager - Helles,3.74
424,The Deafening Song of Silence,IPA - American,4.14
425,Death In the Distance,IPA - American,4.21
426,From Darkness There Will Be Light,IPA - Imperial / Double,4.26
427,Revival of the Forgotten,Farmhouse Ale - Saison,3.76
428,Our Last Rites,Lager - Pale,3.58
429,Velvet Cocoon,Sour - Other,4.13
430,When I Surfed the Sky,IPA - Imperial / Double,4.26
431,Root Beer Float Skillet,Stout - Coffee,3.73
432,Maple Bacon Donut Aged Skillet,Stout - Other,4.07
433,Unto Luminous Depths,Sour - Other,4.03
434,Tiny Haunting Specks of Life,Sour - Other,
435,An Unquenchable Fire,Farmhouse Ale - Saison,3.72
436,A Taste of Obliteration,Sour - Other,3.89
437,The Oracle's Possessor,Farmhouse Ale - Saison,3.87
438,Anno Domini MMXVIII,Sour - Other,4.1
439,Mexican Cake Skillet,Stout - Other,4.32
440,Everything Is Roses,Stout - Imperial / Double,3.85
441,Bloodtusk Keller Pils,Pilsner - German,3.76
442,Hysteria At Dawn,Red Ale - American Amber / Red,3.65
443,Celestial Effigy,Pale Ale - American,
444,Saison Du VIVIAN,Farmhouse Ale - Saison,4.0
445,The Power of People,Pale Ale - American,3.55
446,Voodoo Woman,Stout - Imperial / Double,
447,Martyrs of the Resistance,IPA - Imperial / Double,4.0
448,The Ballad of Chaos,Brown Ale - Imperial / Double,4.22
449,Prismatic Visions,IPA - Imperial / Double,4.28
450,Portal To Transgression,Porter - American,3.95
451,Sanctuary of Shadows,Lager - Dark,3.7
452,By Decree of the Goddess,Farmhouse Ale - Saison,3.81
453,Banished To Silence,IPA - American,3.73
454,Opus of the Bleeding Orb,Farmhouse Ale - Saison,3.91
455,The Tranquility Amid Terror,IPA - American,4.09
456,The Conception of Entropy,Mild - Other,3.65
457,An Uncharted Depth,Farmhouse Ale - Saison,3.79
458,Slaughtered Fates,Sour - Other,4.05
459,Premium Lager,Lager - American Light,3.7
460,Orange Creamsicle,Sour - Berliner Weisse,
461,A Closed Mind Withers,Farmhouse Ale - Saison,
462,Baptized In Blood,Wheat Beer - Witbier / Blanche,3.58
463,Terrestrial Paradise 2018,Pale Ale - American,3.93
464,A Manifestation of Time,Lager - Vienna,3.73
465,Otherworldly Entities,Farmhouse Ale - Saison,3.8
466,From Graves of Valor,Sour - Other,4.07
467,Behind Closed Eyelids,Wild Ale - American,
468,Beneath Cascading Tides,Sour - Other,4.19
469,Resurrection of Riches,Pale Ale - American,3.9
470,Thin Blades of Obsidian,Farmhouse Ale - Saison,3.77
471,Structure Melt And Diffuse,Pale Ale - American,3.88
472,Sword of Crucifixion Golden Sour Ale,Sour - Other,4.05
473,A Violent Voyage To Impermanence,IPA - Imperial / Double,4.13
474,Vivid Portents of Doom,Sour - Other,4.12
475,Proof,Belgian Quadrupel,
476,Heaven Becomes Me,Sour - Other,4.05
477,Divine Beasts,Lager - American Light,3.66
478,The Brutality of Gazing Into Death,IPA - Imperial / Double,4.19
479,The Mortal Dimensions of the Spiritual,IPA - American,4.04
480,Merciless Disciple,Blonde Ale,3.47
481,Oasis of Imagination,Lager - Pale,3.73
482,Dawn For the Departed,IPA - American,4.23
483,Fresh Hop Shadowclock,Pilsner - German,3.92
484,Tome of the Wild Woods,Porter - American,
485,Of Strength And Solace,Farmhouse Ale - Saison,3.88
