,beer_names,style,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022
408,The Supremity of Being,Sour - Other,3.94,3.94,3.94,3.94,3.94,3.94
409,The Bridge of Restraint,Farmhouse Ale - Saison,3.84,3.84,3.84,3.84,3.84,3.84
410,Garden of Earthly Delights IV (2018),Farmhouse Ale - Saison,4.08,4.08,4.08,4.08,4.08,4.08
411,To Streak Blood Across My Brow,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
412,The Taste of Obliteration,Sour - Other,3.81,3.81,3.81,3.81,3.81,3.81
413,A Temple To Blackness Above,Sour - Other,3.9,3.9,3.9,3.9,3.9,3.9
414,Our Last Rites,Lager - Pale,,,,,,
415,Our Last Rites,Lager - Pale,,,,,,3.58
416,Our Last Rites,Lager - Pale,,,,,3.58,
417,Our Last Rites,Lager - Pale,,,,,3.58,3.58
418,Our Last Rites,Lager - Pale,,,,3.58,,
419,Our Last Rites,Lager - Pale,,,,3.58,,3.58
420,Our Last Rites,Lager - Pale,,,,3.58,3.58,
421,Our Last Rites,Lager - Pale,,,,3.58,3.58,3.58
422,Our Last Rites,Lager - Pale,,,3.58,,,
423,Our Last Rites,Lager - Pale,,,3.58,,,3.58
424,Our Last Rites,Lager - Pale,,,3.58,,3.58,
425,Our Last Rites,Lager - Pale,,,3.58,,3.58,3.58
426,Our Last Rites,Lager - Pale,,,3.58,3.58,,
427,Our Last Rites,Lager - Pale,,,3.58,3.58,,3.58
428,Our Last Rites,Lager - Pale,,,3.58,3.58,3.58,
429,Our Last Rites,Lager - Pale,,,3.58,3.58,3.58,3.58
430,Our Last Rites,Lager - Pale,,3.58,,,,
431,Our Last Rites,Lager - Pale,,3.58,,,,3.58
432,Our Last Rites,Lager - Pale,,3.58,,,3.58,
433,Our Last Rites,Lager - Pale,,3.58,,,3.58,3.58
434,Our Last Rites,Lager - Pale,,3.58,,3.58,,
435,Our Last Rites,Lager - Pale,,3.58,,3.58,,3.58
436,Our Last Rites,Lager - Pale,,3.58,,3.58,3.58,
437,Our Last Rites,Lager - Pale,,3.58,,3.58,3.58,3.58
438,Our Last Rites,Lager - Pale,,3.58,3.58,,,
439,Our Last Rites,Lager - Pale,,3.58,3.58,,,3.58
440,Our Last Rites,Lager - Pale,,3.58,3.58,,3.58,
441,Our Last Rites,Lager - Pale,,3.58,3.58,,3.58,3.58
442,Our Last Rites,Lager - Pale,,3.58,3.58,3.58,,
443,Our Last Rites,Lager - Pale,,3.58,3.58,3.58,,3.58
444,Our Last Rites,Lager - Pale,,3.58,3.58,3.58,3.58,
445,Our Last Rites,Lager - Pale,,3.58,3.58,3.58,3.58,3.58
446,Our Last Rites,Lager - Pale,3.58,,,,,
447,Our Last Rites,Lager - Pale,3.58,,,,,3.58
448,Our Last Rites,Lager - Pale,3.58,,,,3.58,
449,Our Last Rites,Lager - Pale,3.58,,,,3.58,3.58
450,Our Last Rites,Lager - Pale,3.58,,,3.58,,
451,Our Last Rites,Lager - Pale,3.58,,,3.58,,3.58
452,Our Last Rites,Lager - Pale,3.58,,,3.58,3.58,
453,Our Last Rites,Lager - Pale,3.58,,,3.58,3.58,3.58
454,Our Last Rites,Lager - Pale,3.58,,3.58,,,
455,Our Last Rites,Lager - Pale,3.58,,3.58,,,3.58
456,Our Last Rites,Lager - Pale,3.58,,3.58,,3.58,
457,Our Last Rites,Lager - Pale,3.58,,3.58,,3.58,3.58
458,Our Last Rites,Lager - Pale,3.58,,3.58,3.58,,
459,Our Last Rites,Lager - Pale,3.58,,3.58,3.58,,3.58
460,Our Last Rites,Lager - Pale,3.58,,3.58,3.58,3.58,
461,Our Last Rites,Lager - Pale,3.58,,3.58,3.58,3.58,3.58
462,Our Last Rites,Lager - Pale,3.58,3.58,,,,
463,Our Last Rites,Lager - Pale,3.58,3.58,,,,3.58
464,Our Last Rites,Lager - Pale,3.58,3.58,,,3.58,
465,Our Last Rites,Lager - Pale,3.58,3.58,,,3.58,3.58
466,Our Last Rites,Lager - Pale,3.58,3.58,,3.58,,
467,Our Last Rites,Lager - Pale,3.58,3.58,,3.58,,3.58
468,Our Last Rites,Lager - Pale,3.58,3.58,,3.58,3.58,
469,Our Last Rites,Lager - Pale,3.58,3.58,,3.58,3.58,3.58
470,Our Last Rites,Lager - Pale,3.58,3.58,3.58,,,
471,Our Last Rites,Lager - Pale,3.58,3.58,3.58,,,3.58
472,Our Last Rites,Lager - Pale,3.58,3.58,3.58,,3.58,
473,Our Last Rites,Lager - Pale,3.58,3.58,3.58,,3.58,3.58
474,Our Last Rites,Lager - Pale,3.58,3.58,3.58,3.58,,
475,Our Last Rites,Lager - Pale,3.58,3.58,3.58,3.58,,3.58
476,Our Last Rites,Lager - Pale,3.58,3.58,3.58,3.58,3.58,
477,Our Last Rites,Lager - Pale,3.58,3.58,3.58,3.58,3.58,3.58
478,The Expulsion of Devils,IPA - Imperial / Double,4.21,4.21,4.21,4.21,4.21,4.21
479,Passage of Condemnation Amaro Ale,Barleywine - Other,,,,,,
480,Harnessing Ruin,IPA - American,3.68,3.68,3.68,3.68,3.68,3.68
481,Song of the Phantom,Sour - Other,4.13,4.13,4.13,4.13,4.13,4.13
482,Plateau of the Ages,Farmhouse Ale - Saison,4.15,4.15,4.15,4.15,4.15,4.15
483,The Tearing of Flesh From Bone,IPA - Imperial / Double,4.27,4.27,4.27,4.27,4.27,4.27
484,Le Tube Petit,Lager - American Light,3.43,3.43,3.43,3.43,3.43,3.43
485,Felled In Howling Wind,Stout - American,3.77,3.77,3.77,3.77,3.77,3.77
486,Beacon of the Abyss,Lager - Helles,3.74,3.74,3.74,3.74,3.74,3.74
487,The Deafening Song of Silence,IPA - American,4.14,4.14,4.14,4.14,4.14,4.14
488,Death In the Distance,IPA - American,4.21,4.21,4.21,4.21,4.21,4.21
489,From Darkness There Will Be Light,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
490,Revival of the Forgotten,Farmhouse Ale - Saison,3.76,3.76,3.76,3.76,3.76,3.76
491,Velvet Cocoon,Sour - Other,4.13,4.13,4.13,4.13,4.13,4.13
492,When I Surfed the Sky,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
493,Root Beer Float Skillet,Stout - Coffee,3.73,3.73,3.73,3.73,3.73,3.73
494,Maple Bacon Donut Aged Skillet,Stout - Other,4.07,4.07,4.07,4.07,4.07,4.07
495,Unto Luminous Depths,Sour - Other,4.03,4.03,4.03,4.03,4.03,4.03
496,Tiny Haunting Specks of Life,Sour - Other,,,,,,
497,An Unquenchable Fire,Farmhouse Ale - Saison,3.72,3.72,3.72,3.72,3.72,3.72
498,A Taste of Obliteration,Sour - Other,3.89,3.89,3.89,3.89,3.89,3.89
499,The Oracle's Possessor,Farmhouse Ale - Saison,3.87,3.87,3.87,3.87,3.87,3.87
500,Anno Domini MMXVIII,Sour - Other,4.1,4.1,4.1,4.1,4.1,4.1
501,Mexican Cake Skillet,Stout - Other,4.32,4.32,4.32,4.32,4.32,4.32
502,Everything Is Roses,Stout - Imperial / Double,3.85,3.85,3.85,3.85,3.85,3.85
503,Bloodtusk Keller Pils,Pilsner - German,3.76,3.76,3.76,3.76,3.76,3.76
504,Hysteria At Dawn,Red Ale - American Amber / Red,3.65,3.65,3.65,3.65,3.65,3.65
505,Celestial Effigy,Pale Ale - American,,,,,,
506,Saison Du VIVIAN,Farmhouse Ale - Saison,4.0,4.0,4.0,4.0,4.0,4.0
507,The Power of People,Pale Ale - American,3.55,3.55,3.55,3.55,3.55,3.55
508,Voodoo Woman,Stout - Imperial / Double,,,,,,
509,Martyrs of the Resistance,IPA - Imperial / Double,4.0,4.0,4.0,4.0,4.0,4.0
510,The Ballad of Chaos,Brown Ale - Imperial / Double,4.22,4.22,4.22,4.22,4.22,4.22
511,Prismatic Visions,IPA - Imperial / Double,4.28,4.28,4.28,4.28,4.28,4.28
512,Portal To Transgression,Porter - American,3.95,3.95,3.95,3.95,3.95,3.95
513,Sanctuary of Shadows,Lager - Dark,3.7,3.7,3.7,3.7,3.7,3.7
514,By Decree of the Goddess,Farmhouse Ale - Saison,3.81,3.81,3.81,3.81,3.81,3.81
515,Banished To Silence,IPA - American,3.73,3.73,3.73,3.73,3.73,3.73
516,Opus of the Bleeding Orb,Farmhouse Ale - Saison,3.91,3.91,3.91,3.91,3.91,3.91
517,The Tranquility Amid Terror,IPA - American,4.09,4.09,4.09,4.09,4.09,4.09
518,The Conception of Entropy,Mild - Other,3.65,3.65,3.65,3.65,3.65,3.65
519,An Uncharted Depth,Farmhouse Ale - Saison,3.79,3.79,3.79,3.79,3.79,3.79
520,Slaughtered Fates,Sour - Other,4.05,4.05,4.05,4.05,4.05,4.05
521,Premium Lager,Lager - American Light,3.7,3.7,3.7,3.7,3.7,3.7
522,Orange Creamsicle,Sour - Berliner Weisse,,,,,,
523,A Closed Mind Withers,Farmhouse Ale - Saison,,,,,,
524,Baptized In Blood,Wheat Beer - Witbier / Blanche,3.58,3.58,3.58,3.58,3.58,3.58
525,Terrestrial Paradise 2018,Pale Ale - American,3.93,3.93,3.93,3.93,3.93,3.93
526,A Manifestation of Time,Lager - Vienna,3.73,3.73,3.73,3.73,3.73,3.73
527,Otherworldly Entities,Farmhouse Ale - Saison,3.8,3.8,3.8,3.8,3.8,3.8
528,From Graves of Valor,Sour - Other,4.07,4.07,4.07,4.07,4.07,4.07
529,Behind Closed Eyelids,Wild Ale - American,,,,,,
530,Beneath Cascading Tides,Sour - Other,4.19,4.19,4.19,4.19,4.19,4.19
531,Resurrection of Riches,Pale Ale - American,3.9,3.9,3.9,3.9,3.9,3.9
532,Thin Blades of Obsidian,Farmhouse Ale - Saison,3.77,3.77,3.77,3.77,3.77,3.77
533,Structure Melt And Diffuse,Pale Ale - American,3.88,3.88,3.88,3.88,3.88,3.88
534,Sword of Crucifixion Golden Sour Ale,Sour - Other,4.05,4.05,4.05,4.05,4.05,4.05
535,A Violent Voyage To Impermanence,IPA - Imperial / Double,4.13,4.13,4.13,4.13,4.13,4.13
536,Vivid Portents of Doom,Sour - Other,4.12,4.12,4.12,4.12,4.12,4.12
537,Proof,Belgian Quadrupel,,,,,,
538,Heaven Becomes Me,Sour - Other,4.05,4.05,4.05,4.05,4.05,4.05
539,Divine Beasts,Lager - American Light,3.66,3.66,3.66,3.66,3.66,3.66
540,The Brutality of Gazing Into Death,IPA - Imperial / Double,4.19,4.19,4.19,4.19,4.19,4.19
541,The Mortal Dimensions of the Spiritual,IPA - American,4.04,4.04,4.04,4.04,4.04,4.04
542,Merciless Disciple,Blonde Ale,3.47,3.47,3.47,3.47,3.47,3.47
543,Oasis of Imagination,Lager - Pale,3.73,3.73,3.73,3.73,3.73,3.73
544,Dawn For the Departed,IPA - American,4.23,4.23,4.23,4.23,4.23,4.23
545,Fresh Hop Shadowclock,Pilsner - German,3.92,3.92,3.92,3.92,3.92,3.92
546,Tome of the Wild Woods,Porter - American,,,,,,
547,Of Strength And Solace,Farmhouse Ale - Saison,3.88,3.88,3.88,3.88,3.88,3.88
548,Its A Wash,Sour - Other,,,,,,
549,Creature Comforts Oktoberfest,Märzen,3.61,3.61,3.61,3.61,3.61,3.61
550,The Entrails of the Perished,IPA - Imperial / Double,4.21,4.21,4.21,4.21,4.21,4.21
551,Metallic Vessels,Lager - American,4.02,4.02,4.02,4.02,4.02,4.02
552,Suffused With Profound Ritual,Farmhouse Ale - Saison,3.87,3.87,3.87,3.87,3.87,3.87
553,Asymmetrical Anguish,Mild - Other,3.73,3.73,3.73,3.73,3.73,3.73
554,This Is Bob,IPA - Imperial / Double,4.2,4.2,4.2,4.2,4.2,4.2
555,Vibrant Feedback,Lager - Amber,3.75,3.75,3.75,3.75,3.75,3.75
556,The Remains With Coffee,Belgian Dubbel,4.04,4.04,4.04,4.04,4.04,4.04
557,Sidra,Cider - Traditional / Apfelwein,3.36,3.36,3.36,3.36,3.36,3.36
558,Censured For Vices,Lager - Pale,3.78,3.78,3.78,3.78,3.78,3.78
559,Our Hearts of Ruin,Pilsner - Other,3.97,3.97,3.97,3.97,3.97,3.97
560,Feast From the Slaughter,Barleywine - American,4.27,4.27,4.27,4.27,4.27,4.27
561,Dominions of Light,Sour - Berliner Weisse,3.36,3.36,3.36,3.36,3.36,3.36
562,Labyrinth of the Moon,Sour - Fruited,,,,,,
563,Disciples of Evil,IPA - Imperial / Double,4.15,4.15,4.15,4.15,4.15,4.15
564,The Bad Luck Lullaby,Sour - Other,,,,,,
565,Ceremony of Exhumation,Farmhouse Ale - Saison,4.26,4.26,4.26,4.26,4.26,4.26
566,The Forever Nothing,Pale Ale - American,3.75,3.75,3.75,3.75,3.75,3.75
567,Nostalgia of the Revenant,Brown Ale - American,4.0,4.0,4.0,4.0,4.0,4.0
568,Feast Upon the Slaughter,Barleywine - English,4.18,4.18,4.18,4.18,4.18,4.18
569,Isn't Anything,IPA - Imperial / Double,4.05,4.05,4.05,4.05,4.05,4.05
570,Static At the Bend,Sour - Other,4.11,4.11,4.11,4.11,4.11,4.11
571,The Surface of Sanity,Sour - Other,4.08,4.08,4.08,4.08,4.08,4.08
572,Scythewine,Barleywine - Other,,,,,,
573,Tapestries of Torture,Sour - Fruited,,,,,,
574,Tessellation of Space,Stout - Imperial / Double,4.11,4.11,4.11,4.11,4.11,4.11
575,Triumph of Death (2019),Farmhouse Ale - Saison,,,,,,
576,Like Everlasting Shadows,Bock - Doppelbock,3.95,3.95,3.95,3.95,3.95,3.95
577,Wandering And Cosmic Consciousness,Belgian Enkel / Patersbier,3.69,3.69,3.69,3.69,3.69,3.69
578,The Mutilation,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
579,Isn't Anyththing Botanical,IPA - Imperial / Double,3.96,3.96,3.96,3.96,3.96,3.96
580,Lurking In the Moonshadow,Porter - American,3.81,3.81,3.81,3.81,3.81,3.81
581,Land of Eternity,Lager - American,3.67,3.67,3.67,3.67,3.67,3.67
582,Oblique Passages To Nowhere,Sour - Berliner Weisse,4.01,4.01,4.01,4.01,4.01,4.01
583,Inhabited By Ghosts,IPA - Imperial / Double,4.3,4.3,4.3,4.3,4.3,4.3
584,Mustache With A Gun,Sour - Other,3.95,3.95,3.95,3.95,3.95,3.95
585,The Carnage We Left Behind,Sour - Fruited,,,,,,
586,Working In the Shadow,Porter - Other,,,,,,
587,I Used To Be An Athlete,IPA - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
588,Eyes Like the Sky,Farmhouse Ale - Saison,3.64,3.64,3.64,3.64,3.64,3.64
589,The Crown of Divination,Stout - Imperial / Double,4.02,4.02,4.02,4.02,4.02,4.02
590,Liturgy of the Forever Silenced,IPA - Triple,4.39,4.39,4.39,4.39,4.39,4.39
591,These Incendiary Devices,IPA - American,4.11,4.11,4.11,4.11,4.11,4.11
592,Before the Descent To Hell,Sour - Flanders Oud Bruin,3.92,3.92,3.92,3.92,3.92,3.92
593,Andes Mint Skillet Donut Stout,Stout - Coffee,4.27,4.27,4.27,4.27,4.27,4.27
594,Reflections In A Mirage,Sour - Other,3.22,3.22,3.22,3.22,3.22,3.22
595,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.02,4.02,4.02
596,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.02,4.02,4.14
597,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.02,4.14,4.02
598,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.02,4.14,4.14
599,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.14,4.02,4.02
600,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.14,4.02,4.14
601,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.14,4.14,4.02
602,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.02,4.14,4.14,4.14
603,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.02,4.02,4.02
604,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.02,4.02,4.14
605,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.02,4.14,4.02
606,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.02,4.14,4.14
607,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.14,4.02,4.02
608,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.14,4.02,4.14
609,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.14,4.14,4.02
610,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.02,4.14,4.14,4.14,4.14
611,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.02,4.02,4.02
612,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.02,4.02,4.14
613,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.02,4.14,4.02
614,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.02,4.14,4.14
615,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.14,4.02,4.02
616,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.14,4.02,4.14
617,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.14,4.14,4.02
618,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.02,4.14,4.14,4.14
619,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.02,4.02,4.02
620,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.02,4.02,4.14
621,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.02,4.14,4.02
622,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.02,4.14,4.14
623,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.14,4.02,4.02
624,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.14,4.02,4.14
625,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.14,4.14,4.02
626,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.02,4.14,4.14,4.14,4.14,4.14
627,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.02,4.02,4.02
628,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.02,4.02,4.14
629,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.02,4.14,4.02
630,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.02,4.14,4.14
631,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.14,4.02,4.02
632,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.14,4.02,4.14
633,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.14,4.14,4.02
634,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.02,4.14,4.14,4.14
635,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.02,4.02,4.02
636,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.02,4.02,4.14
637,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.02,4.14,4.02
638,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.02,4.14,4.14
639,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.14,4.02,4.02
640,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.14,4.02,4.14
641,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.14,4.14,4.02
642,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.02,4.14,4.14,4.14,4.14
643,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.02,4.02,4.02
644,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.02,4.02,4.14
645,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.02,4.14,4.02
646,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.02,4.14,4.14
647,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.14,4.02,4.02
648,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.14,4.02,4.14
649,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.14,4.14,4.02
650,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.02,4.14,4.14,4.14
651,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.02,4.02,4.02
652,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.02,4.02,4.14
653,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.02,4.14,4.02
654,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.02,4.14,4.14
655,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.14,4.02,4.02
656,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.14,4.02,4.14
657,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.14,4.14,4.02
658,Quietly Into Empty Spaces,Farmhouse Ale - Bière de Garde,4.14,4.14,4.14,4.14,4.14,4.14
659,Oaken Chalice,Farmhouse Ale - Grisette,3.83,3.83,3.83,3.83,3.83,3.83
660,The Rise of the Merciless,Farmhouse Ale - Saison,4.14,4.14,4.14,4.14,4.14,4.14
661,Of Dust And Discontent,Lager - Pale,3.78,3.78,3.78,3.78,3.78,3.78
662,The Solace Among Slaughterous Rage,IPA - Imperial / Double,4.21,4.21,4.21,4.21,4.21,4.21
663,Death Is But A Door,IPA - Black / Cascadian Dark Ale,3.95,3.95,3.95,3.95,3.95,3.95
664,Cavities of Bloodshed,IPA - Imperial / Double,4.17,4.17,4.17,4.17,4.17,4.17
665,Drop the Guillotine,IPA - Imperial / Double,4.23,4.23,4.23,4.23,4.23,4.23
666,Ritual Anonymity,Pilsner - Other,3.9,3.9,3.9,3.9,3.9,3.9
667,Torrent of Souls,Farmhouse Ale - Saison,4.03,4.03,4.03,4.03,4.03,4.03
668,Ancient Rituals,Sour - Other,3.96,3.96,3.96,3.96,3.96,3.96
669,The Ultimate Ride,IPA - American,3.88,3.88,3.88,3.88,3.88,3.88
670,Three Dimensional,Pilsner - Other,3.83,3.83,3.83,3.83,3.83,3.83
671,Talonsword,IPA - Imperial / Double,4.19,4.19,4.19,4.19,4.19,4.19
672,The Righteous And Barbaric Souls,Stout - Imperial / Double,4.21,4.21,4.21,4.21,4.21,4.21
673,Irish Coffee,Stout - Coffee,4.28,4.28,4.28,4.28,4.28,4.28
674,Sour Amaro Ale,Sour - Other,2.5,2.5,2.5,2.5,2.5,2.5
675,The Perished Vision Remains,Sour - Other,3.75,3.75,3.75,3.75,3.75,3.75
676,Dragonfruit,IPA - American,,,,,,
677,The Requiem,Shandy / Radler,3.93,3.93,3.93,3.93,3.93,3.93
678,Cloaked In Deceit,Farmhouse Ale - Saison,4.09,4.09,4.09,4.09,4.09,4.09
679,Concepts of Dismemberment,IPA - Imperial / Double,4.23,4.23,4.23,4.23,4.23,4.23
680,The End Is Never Near,IPA - Session,3.93,3.93,3.93,3.93,3.93,3.93
681,Double IPA W/Pineapple And Mango,IPA - Imperial / Double,4.05,4.05,4.05,4.05,4.05,4.05
682,Lake of Eternal Shadows Dopplesticke Lager,Lager - Dark,3.94,3.94,3.94,3.94,3.94,3.94
683,Vividly Depicted Hauntings,IPA - American,4.22,4.22,4.22,4.22,4.22,4.22
684,An Abstract Reverie,Farmhouse Ale - Saison,3.64,3.64,3.64,3.64,3.64,3.64
685,The Realm of Absolute Nothingness,Stout - Imperial / Double,4.42,4.42,4.42,4.42,4.42,4.42
686,Reverence of the Wren,Stout - Imperial / Double,3.98,3.98,3.98,3.98,3.98,3.98
687,Camp Kolsch,Kölsch,3.79,3.79,3.79,3.79,3.79,3.79
688,Hymn of the Serpent,Stout - Foreign / Export,4.1,4.1,4.1,4.1,4.1,4.1
689,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.07,4.07,4.07
690,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.07,4.07,4.15
691,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.07,4.15,4.07
692,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.07,4.15,4.15
693,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.15,4.07,4.07
694,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.15,4.07,4.15
695,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.15,4.15,4.07
696,The Allegory of Immortality,Sour - Other,4.07,4.07,4.07,4.15,4.15,4.15
697,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.07,4.07,4.07
698,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.07,4.07,4.15
699,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.07,4.15,4.07
700,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.07,4.15,4.15
701,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.15,4.07,4.07
702,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.15,4.07,4.15
703,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.15,4.15,4.07
704,The Allegory of Immortality,Sour - Other,4.07,4.07,4.15,4.15,4.15,4.15
705,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.07,4.07,4.07
706,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.07,4.07,4.15
707,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.07,4.15,4.07
708,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.07,4.15,4.15
709,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.15,4.07,4.07
710,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.15,4.07,4.15
711,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.15,4.15,4.07
712,The Allegory of Immortality,Sour - Other,4.07,4.15,4.07,4.15,4.15,4.15
713,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.07,4.07,4.07
714,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.07,4.07,4.15
715,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.07,4.15,4.07
716,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.07,4.15,4.15
